t;x;y;θ;θ_{r};ω;α;r;v
16.3;0.0579;-9.44E-01;-8.65E+01;-8.65E+01;;;9.46E-01;
16.4;-0.046;-9.42E-01;-9.28E+01;-9.28E+01;-4.67E+01;;9.43E-01;7.69E-01
16.6;-0.149;-9.33E-01;-9.91E+01;-9.91E+01;-4.02E+01;8.16E+01;9.45E-01;6.62E-01
16.7;-0.223;-9.19E-01;-1.04E+02;-1.04E+02;-2.44E+01;1.36E+02;9.46E-01;4.02E-01
16.8;-0.255;-9.12E-01;-1.06E+02;-1.06E+02;-3.37E+00;1.56E+02;9.47E-01;5.61E-02
17;-0.238;-9.17E-01;-1.05E+02;-1.05E+02;1.80E+01;1.42E+02;9.47E-01;2.98E-01
17.1;-0.177;-9.30E-01;-1.01E+02;-1.01E+02;3.50E+01;9.72E+01;9.47E-01;5.77E-01
17.2;-0.0845;-9.44E-01;-9.51E+01;-9.51E+01;4.44E+01;3.77E+01;9.47E-01;7.32E-01
17.4;0.0195;-9.46E-01;-8.88E+01;-8.88E+01;4.50E+01;-2.80E+01;9.47E-01;7.43E-01
17.5;0.115;-9.40E-01;-8.30E+01;-8.30E+01;3.69E+01;-8.72E+01;9.47E-01;6.09E-01
17.6;0.182;-9.28E-01;-7.89E+01;-7.89E+01;2.13E+01;-1.30E+02;9.46E-01;3.53E-01
17.8;0.209;-9.24E-01;-7.73E+01;-7.73E+01;1.72E+00;-1.48E+02;9.47E-01;2.84E-02
17.9;0.19;-9.27E-01;-7.84E+01;-7.84E+01;-1.87E+01;-1.38E+02;9.46E-01;3.09E-01
18;0.127;-9.39E-01;-8.23E+01;-8.23E+01;-3.57E+01;-9.81E+01;9.47E-01;5.89E-01
18.2;0.0327;-9.46E-01;-8.80E+01;-8.80E+01;-4.53E+01;-3.67E+01;9.47E-01;7.47E-01
18.3;-0.0738;-9.46E-01;-9.45E+01;-9.45E+01;-4.56E+01;3.39E+01;9.48E-01;7.53E-01
18.5;-0.169;-9.33E-01;-1.00E+02;-1.00E+02;-3.61E+01;9.87E+01;9.49E-01;5.98E-01
18.6;-0.233;-9.22E-01;-1.04E+02;-1.04E+02;-1.88E+01;1.41E+02;9.51E-01;3.11E-01
18.7;-0.252;-9.17E-01;-1.05E+02;-1.05E+02;2.12E+00;1.52E+02;9.51E-01;3.52E-02
18.9;-0.224;-9.24E-01;-1.04E+02;-1.04E+02;2.23E+01;1.31E+02;9.51E-01;3.70E-01
19;-0.154;-9.36E-01;-9.93E+01;-9.93E+01;3.77E+01;8.34E+01;9.48E-01;6.23E-01
19.1;-0.0577;-9.46E-01;-9.35E+01;-9.35E+01;4.49E+01;1.99E+01;9.48E-01;7.40E-01
19.3;0.0451;-9.45E-01;-8.73E+01;-8.73E+01;4.30E+01;-4.37E+01;9.46E-01;7.09E-01
19.4;0.133;-9.37E-01;-8.19E+01;-8.19E+01;3.30E+01;-9.88E+01;9.46E-01;5.43E-01
19.5;0.19;-9.25E-01;-7.84E+01;-7.84E+01;1.63E+01;-1.35E+02;9.45E-01;2.69E-01
19.7;0.204;-9.23E-01;-7.75E+01;-7.75E+01;-3.65E+00;-1.47E+02;9.45E-01;6.02E-02
19.8;0.174;-9.29E-01;-7.94E+01;-7.94E+01;-2.32E+01;-1.28E+02;9.45E-01;3.84E-01
19.9;0.103;-9.41E-01;-8.38E+01;-8.38E+01;-3.84E+01;-8.26E+01;9.47E-01;6.34E-01
20.1;0.0045;-9.47E-01;-8.97E+01;-8.97E+01;-4.56E+01;-1.76E+01;9.47E-01;7.52E-01
